GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-12-07,DET @ NYK,NYK,1630595,22400343,0,3.0,25.4,24.5,34.6,35.7,19.8,5.2,26.888,109.0,109.0,230.4,121.4,29,cade_cunningham
2024-12-07,NYK vs. DET,DET,1628973,22400343,1,2.0,25.8,24.9,30.6,32.9,14.6,7.8,20.032,116.6,116.6,228.9,112.3,31,jalen_brunson
2024-12-07,OKC @ NOP,NOP,1628983,22400342,0,2.0,31.8,32.0,34.4,35.4,23.2,7.8,28.632,119.5,119.5,222.8,103.3,31,shai_gilgeous-alexander
2024-12-08,MIN @ GSW,GSW,1630162,22400355,0,2.0,20.8,24.7,32.2,36.0,18.0,4.2,22.648,107.6,107.6,213.1,105.5,27,anthony_edwards
2024-12-08,MIL @ BKN,BKN,203507,22400348,0,2.0,32.6,34.2,33.8,35.2,19.4,14.2,29.448,112.3,112.3,219.7,107.4,34,giannis_antetokounmpo
2024-12-08,GSW vs. MIN,MIN,201939,22400355,1,2.0,22.4,23.0,31.8,31.5,18.8,4.4,23.536,103.4,103.4,212.6,109.2,30,stephen_curry
2024-12-09,NYK @ TOR,TOR,1628973,22400359,0,2.0,24.6,26.8,32.2,33.9,14.6,7.6,20.544,114.3,114.3,227.2,112.9,20,jalen_brunson
2024-12-10,MIL vs. ORL,ORL,203507,22401201,1,2.0,33.0,31.7,35.2,34.6,19.2,14.2,29.048,104.8,104.8,215.0,110.2,37,giannis_antetokounmpo
2024-12-10,OKC vs. DAL,DAL,1628983,22401203,1,3.0,31.0,32.3,33.4,35.5,21.2,8.2,27.008,112.7,112.7,238.4,125.7,39,shai_gilgeous-alexander
2024-12-11,NYK vs. ATL,ATL,1628973,22401202,1,2.0,22.4,26.2,31.8,34.4,13.6,6.2,19.128,120.3,120.3,238.8,118.5,14,jalen_brunson
2024-12-11,GSW @ HOU,HOU,201939,22401204,0,3.0,25.6,22.3,32.4,31.5,19.2,6.4,24.816000000000003,107.3,107.3,219.6,112.3,19,stephen_curry
